eventid,ccode,id,countryname,startdate,enddate,stday,stmo,styr,endday,endmo,endyr,duration,etype,escalation,actor1,actor2,actor3,target1,target2,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,GISlocnum,issue1,issue2,issue3,issuenote,nsource,acdquestionable,notes,coder,latitude,longitude,geo_comments,location_precision
410183,41,183,Haiti,18-Oct-93,18-Oct-93,18,10,1993,18,10,1993,1,5,0,Supporters of Lt. Gen. Raoul Cedras,,,Opponents of Cedras,,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,A general strike was called by supporters of army commander Lt. Gen. Raoul Cedras.,AP,0,Not specified how many people participated in general strike; article only states that a general strike was called,BS,18.95,-72.46667,UNKNOWN,no
410184,41,184,Haiti,20-Oct-93,20-Oct-93,20,10,1993,20,10,1993,1,10,0,Armed men,,,Deputy Samuel Milord,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,Deputy Samuel Milord of the pro-Aristide National Front for Change and Democracy was abducted by armed men.,Both,0,,BS,18.53333,-72.33334,,
410185,41,185,Haiti,20-Oct-93,20-Oct-93,20,10,1993,20,10,1993,1,7,0,Army-backed gangs,,,Relatives of Deputy Samuel Milord,,0,0,-99,0,0,Desdune,Desdune,1,3,3,11,,,Houses of two relatives of Deputy Milord were attacked by army-backed gangs.,AP,0,Date of event not specified so date of deputy's abduction coded as start and end date,BS,19.28935,-72.64172,,
410186,41,186,Haiti,21-Oct-93,21-Oct-93,21,10,1993,21,10,1993,1,1,0,Front for the Advancement and Progress of Haiti,,,Aristide and Malval,United Nations,1,0,3,0,0,Unknown,Unknown,1,-99,-99,10,8,,Protesters demanded the resignations of Aristide and Malval if the U.N. plan is not implemented by Oct. 30.,AP,0,,BS,18.95,-72.46667,UNKNOWN,no
410187,41,187,Haiti,25-Oct-93,25-Oct-93,25,10,1993,25,10,1993,1,7,0,Civilian army auxiliaries,,,Street vendor,,0,0,1,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"Seven civilian army auxiliaries beat up, robbed and then dragged a street vendor into her home and raped her.",AP,0,"Cautiously coded as an etype 7, but could be a criminal act and not repression",BS,18.53333,-72.33334,,
410188,41,188,Haiti,25-Oct-93,25-Oct-93,25,10,1993,25,10,1993,1,7,0,State security forces,,,Radio stations,,0,0,-99,0,0,Gonaives,Gonaives,1,2,2,11,,,Two radio stations were closed down for playing a Pro-Aristide message and a radio journalist and two technicians were arrested.,AP,0,,BS,19.45,-72.68333,,
410189,41,189,Haiti,29-Oct-93,29-Oct-93,29,10,1993,29,10,1993,1,5,9,Pro-Duvalier political parties,Unspecified trucker's union,,Aristide,Premier Robert Malval,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,8,,,Pro-Duvalier political parties called a general strike to protest Aristide's return and demanding the resignation of Prime Minister Malval and to press the government to seize foreign-owned gas depots.,Both,0,Coded as an escalation to an etype 9 because gunmen forced bus drivers to discharge passengers,BS,19,-72.41666,,
410190,41,190,Haiti,31-Oct-93,31-Oct-93,31,10,1993,31,10,1993,1,2,0,Opponents of Aristide,,,Aristide,,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,About 200 rightists marched to demand the replacement of Aristide.,AP,0,,BS,18.53333,-72.33334,,
410191,41,191,Haiti,31-Oct-93,31-Oct-93,31,10,1993,31,10,1993,1,1,0,Front for the Advancement and Progress of Haiti,Right wing political groups,,Aristide,United Nations envoy Dante Caputo,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,8,,"A coalition of 20 small right-wing political movements demanded the resignation of Aristide, army commander Lt. Gen. Raoul Cedras and U.N. envoy Dante Caputo.",AP,0,,BS,18.53333,-72.33334,,
410192,41,192,Haiti,4-Nov-93,4-Nov-93,4,11,1993,4,11,1993,1,5,0,Front for the Advancement and Progress of Haiti,,,Aristide,United Nations,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,10,,A general strike called by the Front for the Advancement and  Progress of Haiti to protest a U.N.-imposed international embargo against the country and to press its demands to have the presidency declared vacant and a new head of state chosen.,Both,0,Initially called as a two-day strike but second day called off,BS,18.53333,-72.33334,,
410193,41,193,Haiti,27-Dec-93,27-Dec-93,27,12,1993,27,12,1993,1,4,0,Mob,,,Front for the Advancement and Progress of Haiti,,0,0,-99,2,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"A mob of people hacked off the arms of Front for the Advancement and Progress of Haiti member Paul Issa and set him afire, and stoned one of the front's leaders to death, Emmanuel Constant.",AP,0,,BS,18.53333,-72.33334,,
410194,41,194,Haiti,27-Dec-93,27-Dec-93,27,12,1993,27,12,1993,1,3,0,Front for the Advancement and Progress of Haiti,Armed men,,Slumdwellers,,0,0,-99,-88,0,Port-Au-Prince,Port-Au-Prince,1,1,1,13,,,About 200 dwellings were destroyed in a fire believed to have been started by the Front for the Advancement and Progress of Haiti; witnesses claim that armed men doused the shacks with gasoline and lit them.,AP,0,"Disparity in number of deaths, probably less than 10; coded as issue1 13 because attack was likely retribution for killing of Front for the Advancement and Progress of Haiti members in slum on the same day",BS,18.53333,-72.33334,,
410195,41,195,Haiti,10-Jan-94,10-Jan-94,10,1,1994,10,1,1994,1,2,0,Aristide opponents,,,Government,,1,0,2,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,About 30 protesters opposed to Aristide demonstrated to demand suspension of the constitution and dissolution of Parliament and Aristide's presidency.,AP,0,,BS,18.53333,-72.33334,,
410196,41,196,Haiti,10-Jan-94,10-Jan-94,10,1,1994,10,1,1994,1,4,0,Legislator,,,Pro-Aristide Assembly President Firmin Jean-Louis,,1,0,1,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,1,,,Pro-Aristide Assembly President Firmin Jean-Louis was punched in the face by a member of parliament when he attempted to close the session for lack of a quorum; the fighting revolved around the legitimacy of 13 legislators elected January 1993.,AP,0,,BS,18.53333,-72.33334,,
410197,41,197,Haiti,28-Jan-94,28-Jan-94,28,1,1994,28,1,1994,1,1,0,Right-wing protesters,,,Government,,1,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,Thousands of right-wing protesters demanded the dissolution of the parliament and the appointment of a civilian committee to end the political crisis.,AFP,0,Coded as an etype 1 because protesters were brought in trucks to protest and this strongly implies organization,BS,18.53333,-72.33334,,
410198,41,198,Haiti,28-Jan-94,28-Jan-94,28,1,1994,28,1,1994,1,1,0,Congress of National Salvation,,,United Nations,,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,"About 1,000 members of the Congress of National Salvation demonstrated against the United Nations embargo in front of army headquarters.",AP,0,"Event date not specified in article, so an educated guess was made",BS,18.53333,-72.33334,,
410199,41,199,Haiti,28-Jan-94,9-Feb-94,28,1,1994,9,2,1994,13,1,0,Major business associations,,,United Nations,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,At least 15 business associations forced their businesses to close to protest the fuel embargo that crippled Haiti's economy; only hospitals and clinics remained open.,Both,0,"Coded as an etype 1 because business organizations forced businesses to close in protest; therefore, this is coded as a demonstration and not a worker's strike",BS,18.53333,-72.33334,,
410200,41,200,Haiti,2-Feb-94,2-Feb-94,2,2,1994,2,2,1994,1,7,0,Pro-army paramilitary group,Soldiers,,Haitian citizens,,0,0,2,-77,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,Attackers fired bullets and tear gas at the house holding pro-democracy group members; armed soldiers are reported to have joined in on the raid.,Both,0,Exact number of deaths unknown but higher than 10,BS,18.53333,-72.33334,,
410201,41,201,Haiti,3-Feb-94,3-Feb-94,3,2,1994,3,2,1994,1,8,0,Rebels,,,Soldiers,,1,0,2,0,0,Le Pretre,Le Pretre,1,3,3,14,,,Nine soldiers climbed a steep area to investigate young men hiding out after peasants reported seeing them bathing in a river and bamboo sleeping mats drying outside a cave; the rebels started firing at the soldiers and the soldiers retreated.,AP,0,,BS,18.29703,-73.82838,,
410202,41,202,Haiti,4-Feb-94,4-Feb-94,4,2,1994,4,2,1994,1,1,0,Front for the Advancement and Progress of Haiti,Haitian Christian Democratic Party,Mobilization for National Development,United Nations,,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,10,,"About 2,000 Haitians protested the UN-imposed embargo and for a replacement for exiled President Jean-Bertrand Aristide; the protest was called by several anti-Aristide groups.",Both,0,,BS,18.53333,-72.33334,,
410203,41,203,Haiti,5-Feb-94,5-Feb-94,5,2,1994,5,2,1994,1,7,0,Soldiers,,,Villagers suspected of supporting rebels,,0,0,2,0,0,Les Cayes,Les Cayes,1,3,3,11,,,"Two days after the incident with rebels on February 3, soldiers arrested a dozen known Aristide sympathizers and torched eight peasants' homes.",AP,0,Coded as a separate event from February 3 rebel attack because rebel supporters and not the rebels themselves were the targets of violence,BS,18.2,-73.75,,
410204,41,204,Haiti,11-Feb-94,11-Feb-94,11,2,1994,11,2,1994,1,8,0,Armed civilians,,,Government Prosecutor Laraque Exantus,Other citizens,1,0,-99,-88,0,Unspecified suburban area,Unspecified suburban area,1,6,6,14,,,Armed civilians abducted deputy government prosecutor Laraque Exentus and his brother from their home.,Both,0,,BS,18.95,-72.46667,UNKNOWN,no
410205,41,205,Haiti,15-Feb-94,15-Feb-94,15,2,1994,15,2,1994,1,7,0,Military,,,Citizens,,0,0,-99,30,0,Le Pretre,Le Pretre,1,3,3,11,,,30 people were killed in a military sweep.,AP,0,Exact event date not given; a start and end date were approximated,BS,18.29703,-73.82838,,
410206,41,206,Haiti,19-Feb-94,19-Feb-94,19,2,1994,19,2,1994,1,7,0,Armed civilians,,,Sylvain Morrisseau,Front of Reorganized Associations,0,0,-99,-88,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,"Armed civilians abducted Sylvain Morrisseau, coordinator of the Front of Reorganized Associations.",Both,0,Coded as an etype 7 because activist group leader was abducted,BS,18.53333,-72.33334,,
410207,41,207,Haiti,20-Feb-94,20-Feb-94,20,2,1994,20,2,1994,1,8,0,Unknown armed assailants,,,Army officer,,1,0,-99,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,An army officer was killed by unknown assailants.,AFP,0,Coded as an etype 8 because army officer was killed but reason for murder was not specified,BS,18.53333,-72.33334,,
410208,41,208,Haiti,5-Mar-94,5-Mar-94,5,3,1994,5,3,1994,1,7,0,Armed civilians,Front for the Advancement and Progress of Haiti militants,,Pro-Aristide neighborhood,,0,0,-99,0,0,Saut d'Eau,Saut d'Eau,1,3,3,11,,,"Armed civilians and FRAPH militants raided a pro-Aristide neighborhood, shooting into the air and beating people; some residents were arrested and jailed at the local army outpost, and a judge and his assistants were roughed up.",AP,0,,BS,18.75966,-72.28021,,
410209,41,209,Haiti,7-Mar-94,7-Mar-94,7,3,1994,7,3,1994,1,7,0,Police,,,Pro-democracy group leader,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,The 26-year-old leader of a pro-democracy group was arrested and mistreated.,AFP,0,,BS,18.53333,-72.33334,,
410210,41,210,Haiti,10-Mar-94,10-Mar-94,10,3,1994,10,3,1994,1,7,0,Soldiers,Police,Front for the Advancement and Progress of Haiti,Aristide partisan Dady Pierre,,0,0,2,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"An Aristide partisan was beaten and hacked to death by 10 men, including a soldier, two special police agents, and two members of the far-right paramilitary group the Front for the Advancement and Progress of Haiti.",AP,0,,BS,18.53333,-72.33334,,
410211,41,211,Haiti,23-Mar-94,24-Mar-94,23,3,1994,24,3,1994,2,4,0,Pro-army militants,Soldiers,,United Nations observers,,0,0,2,0,0,Hinche,Hinche,1,3,3,11,,,"Pro-army militants ran five U.N. observers, who were checking reports of human rights abuses, out of Hinche while army soldiers stood by.",AP,0,"Event may have happened on either 3/23 or 3/24, so 3/23 coded as start date and 3/24 coded as end date",BS,19.14116,-72.01422,,
410212,41,212,Haiti,25-Mar-94,25-Mar-94,25,3,1994,25,3,1994,1,2,0,Far right demonstrators,Pro-army groups,,France,,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,About 500 demonstrators blocked the arrival of a French ship carrying humanitarian aid because France was one of the primary supporters of the worldwide oil embargo on Haiti.,AP,0,,BS,18.53333,-72.33334,,
410213,41,213,Haiti,8-Apr-94,8-Apr-94,8,4,1994,8,4,1994,1,8,0,Armed civilians,,,Soldiers,,1,0,-99,0,0,Le Borgne,Le Borgne,1,3,3,14,,,Armed civilians opened fire at soldiers stationed at a military outpost; the soldiers fired back and the attackers fled; no injuries reported.,AP,0,,BS,19.84444,-72.5227,,
410214,41,214,Haiti,10-Apr-94,26-Apr-94,10,4,1994,26,4,1994,17,7,0,Soldiers,,,Villagers,,0,0,-99,-77,0,Bassin Caiman,Bassin Caiman,1,3,3,11,,,"Soldiers went into Bassin Caiman, an Aristide stronghold; they fired weapons, broke down doors, stole livestock, torched fields, and burned down 100 houses and hacked a young man to death; it is unknown if others were injured or killed.",AP,0,,BS,19.8,-72.38333,,
410215,41,215,Haiti,15-Apr-94,15-Apr-94,15,4,1994,15,4,1994,1,7,0,Military,,,Citizens,,0,0,-99,-77,0,Le Borgne,Le Borgne,1,3,3,11,,,More than 40 people were killed in a military sweep.,AP,0,Exact event date not given; a start and end date were approximated,BS,19.84444,-72.5227,,
410216,41,216,Haiti,15-Apr-94,15-Apr-94,15,4,1994,15,4,1994,1,4,0,Armed men,,,Aristide supporter,,0,0,-99,2,0,Unknown,Unknown,1,-99,-99,11,,,"In a search for an Aristide supporter, armed civilians struck and fatally injured two children.",AFP,0,"Event date not specified in article, so middle of the month was coded as start and end date",BS,18.95,-72.46667,UNKNOWN,no
410217,41,217,Haiti,17-Apr-94,17-Apr-94,17,4,1994,17,4,1994,1,9,0,Aristide partisans,,,Front for the Advancement and Progress of Haiti militant,,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,14,,,"A Front for the Advancement and Progress of Haiti militant, Pierre Paul Camille, was the victim of assault and battery, presumably by Aristide partisans.",AP,0,,BS,18.95,-72.46667,UNKNOWN,no
410218,41,218,Haiti,23-Apr-94,23-Apr-94,23,4,1994,23,4,1994,1,7,0,Soldiers,,,Aristide supporters,Fishermen,0,0,-99,28,0,Gonaives,Gonaives,1,2,2,11,,,"Soldiers looking for armed Aristide partisans shot into the air, rousted people from their beds and beat them up; the soldiers returned hours later, and fired at embarking fishermen, with 28 killed. ",AP,0,Some disparity on total number killed by soldiers; most recent death count coded,BS,19.45,-72.68333,,
410219,41,219,Haiti,23-May-94,23-May-94,23,5,1994,23,5,1994,1,7,0,Army-backed gunmen,,,Pro-Aristide neighborhood committee members,,0,0,-99,4,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"Army-backed gunmen broke down doors, shot two Aristide supporters inside their shacks and dragged the two others outside to kill them.",AP,0,,BS,18.53333,-72.33334,,
410220,41,220,Haiti,7-Jun-94,7-Jun-94,7,6,1994,7,6,1994,1,4,0,Police,Armed civilians,,United Nations observers,,0,0,2,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,"Shouting epithets against international observers, 20 armed Haitians, some of them police, stopped 2 U.N. vehicles carrying security officers; the armed men searched the vehicles, seizing one weapon and three portable walkie-talkies.",AP,0,,BS,18.53333,-72.33334,,
410221,41,221,Haiti,7-Jun-94,7-Jun-94,7,6,1994,7,6,1994,1,7,0,Police,,,Canadian journalist,,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,A Canadian journalist was detained for 48 hours and beaten.,AP,0,,BS,18.95,-72.46667,UNKNOWN,no
410222,41,222,Haiti,15-Jun-94,15-Jun-94,15,6,1994,15,6,1994,1,7,0,Armed men,Soldiers,,Activist Marie Auxiliatrice Decossa,,0,0,1,1,0,Unknown,Unknown,1,-99,-99,11,,,"Marie Auxiliaries Decossa, an activist with a small business association, was killed by a group of five armed men, two of them in army uniforms.",AFP,0,,BS,18.95,-72.46667,UNKNOWN,no
410223,41,223,Haiti,15-Jun-94,16-Jun-94,15,6,1994,16,6,1994,2,7,0,Armed civilians,,,Aristide supporter,Haitian-American citizen,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,Armed civilians beat a visiting Haitian-American after seizing him on a street with four other people  and he was beaten with a stick and slapped on his ears with open palms; all five were released the next day,AP,0,,BS,18.95,-72.46667,UNKNOWN,no
410224,41,224,Haiti,19-Jun-94,20-Jun-94,19,6,1994,20,6,1994,2,8,0,Rebels,,,Soldiers,,1,0,2,3,0,Camp Perrin,Camp Perrin,1,3,3,14,,,20 rebels fired on a military outpost and were chased by military reinforcements; two rebels and a bystander were killed.,AP,0,,BS,18.32722,-73.86102,,
410225,41,225,Haiti,24-Jun-94,24-Jun-94,24,6,1994,24,6,1994,1,7,0,Police-linked gunmen,,,Activist Bien-Aime,,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,"Police-linked gunmen shot at Bien-Aime, an Aristide activist.",AP,0,,BS,18.95,-72.46667,UNKNOWN,no
410226,41,226,Haiti,1-Jul-94,1-Jul-94,1,7,1994,1,7,1994,1,7,0,Police,,,Haitian refugees,,0,0,3,40,0,Nan L'etat,Nan L'etat,1,3,3,11,,,"A boat with 400 Haitian refugees had warning shots fired at it by four policemen, setting off a panic in which 200 were thrown overboard and 30-40 people drowned.",AP,0,Coded as an etype 7 because police were trying to prevent refugees from leaving; coded as Nan L'etat because event happened 300 yards off the coast,BS,19.32408,-71.79932,,
410227,41,227,Haiti,7-Jul-94,7-Jul-94,7,7,1994,7,7,1994,1,7,0,Soldiers,,,Haitian refugees,,0,0,2,0,0,Bolance,Bolance,1,3,3,11,,,Soldiers stopped 15 people trying to get on a boat and beat them and took their money.,AP,0,,BS,19.65,-72.61667,,
410228,41,228,Haiti,12-Jul-94,12-Jul-94,12,7,1994,12,7,1994,1,7,0,Unspecified state security forces,,,Haitian refugees,,0,0,-99,12,0,Morne-a-Bateau,Morne-a-Bateau,1,3,3,11,,,12 young Haitians were allegedly gunned down trying to free the country.,AFP,0,"Cautiously coded as an etype 7, but may not have been government forces who killed the 12 men",BS,18.51667,-72.5,,
410229,41,229,Haiti,14-Jul-94,14-Jul-94,14,7,1994,14,7,1994,1,1,0,Pro-army demonstrators,Grassroots groups,,United Nations,United States,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,About 200 Haitians protested against the United Nations embargo and United States intervention and in support of the military.,AP,0,Coded as an etype 1 because rally was advertised on the radio,BS,18.53333,-72.33334,,
410230,41,230,Haiti,14-Jul-94,14-Jul-94,14,7,1994,14,7,1994,1,1,0,Front for the Advancement and Progress of Haiti,,,Aristide,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,A demonstration was held against Aristide.,AP,0,Coded as a separate event from July 14 demonstration because the actors seem to have been different,BS,18.53333,-72.33334,,
410231,41,231,Haiti,15-Jul-94,15-Jul-94,15,7,1994,15,7,1994,1,7,0,Cpl. Mandelus Norelus,,,Man accused of stealing fruit,,0,0,1,0,0,Chardonnieres,Chardonnieres,1,3,3,11,,,"Cpl. Mandelus Norelus detained a man accused of stealing fruit, cut off part of his ear, made him eat it and then carved the initials S.H. - for Saddam Hussein - into the man's buttocks and beat him.",Both,0,Event date not specified; middle of month coded as start and end date,BS,18.27465,-74.16437,,
410232,41,232,Haiti,15-Jul-94,15-Jul-94,15,7,1994,15,7,1994,1,7,0,Cpl. Mandelus Norelus,,,Catholic priest,,0,0,1,0,0,Chardonnieres,Chardonnieres,1,3,3,11,,,Cpl. Norelus arrested and beat a Catholic priest.,AP,0,Event date not specified; middle of month coded as start and end date,BS,18.27465,-74.16437,,
410233,41,233,Haiti,20-Jul-94,20-Jul-94,20,7,1994,20,7,1994,1,4,0,Citizens,,,Food distribution center,,0,0,4,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,3,,,"A near riot occurred at a food distribution center, with police lashing people with belts and switches as they struggled to get into the building for a handout.",AP,0,,BS,18.53333,-72.33334,,
410234,41,234,Haiti,28-Jul-93,28-Jul-93,28,7,1993,28,7,1993,1,1,0,Citizens,,,United Nations,United States,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,A protest was held against the U.S. and U.N.,Both,0,Coded as an etype 1 because leaflets were handed out to get people to participate in the demonstration and this strongly implies organization,BS,18.53333,-72.33334,,
410235,41,235,Haiti,31-Jul-94,31-Jul-94,31,7,1994,31,7,1994,1,7,0,Armed men,,,Activist Bien-Aime,Bien-Aime family,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,"Armed men showed up at the house of Bien-Aime, an Aristide activist, and pushed his wife around and tore her blouse.",AP,0,Coded as last day of July because exact event date not specified,BS,18.95,-72.46667,UNKNOWN,no
410236,41,236,Haiti,1-Aug-94,1-Aug-94,1,8,1994,1,8,1994,1,10,0,Soldiers,Armed civilians,,Senator Reynold Georges,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"Soldiers and armed civilians attacked Senator Georges, shooting him in the back and in the arm.",AP,0,,BS,18.53333,-72.33334,,
410237,41,237,Haiti,2-Aug-94,2-Aug-94,2,8,1994,2,8,1994,1,7,0,Militias,,,Haitian refugees,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,Militias roughed up Haitians at a refugee processing center.,AP,0,,BS,18.53333,-72.33334,,
410238,41,238,Haiti,3-Aug-94,3-Aug-94,3,8,1994,3,8,1994,1,7,0,Soldiers,,,Citizens,,0,0,-99,0,0,Cabaret,Cabaret,1,3,3,11,,,"Soldiers arrested, beat and detained citizens on the streets after dark.",AP,0,,BS,18.73333,-72.41666,,
410239,41,239,Haiti,3-Aug-94,3-Aug-94,3,8,1994,3,8,1994,1,7,0,Unknown assailants,,,Citizens,,0,0,-99,2,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"The bodies of two men, both shot and with straps cinched around their necks, were dumped in the middle of a busy street.",AP,0,"Cautiously coded as an etype 7, but responsibility for deaths unknown",BS,18.53333,-72.33334,,
410240,41,240,Haiti,8-Aug-94,8-Aug-94,8,8,1994,8,8,1994,1,2,0,Pro-military demonstrators,,,United States,,0,0,-99,0,0,Les Cayes,Les Cayes,1,3,3,11,,,A pro-military demonstration was held outside the United States embassy.,Both,0,Event date not specified; date of first mention coded as start and end date,BS,18.2,-73.75,,
410241,41,241,Haiti,9-Aug-94,9-Aug-94,9,8,1994,9,8,1994,1,8,0,Unknown assailants,,,Mayor Lydie Parent,Sen. Clark Parent,1,1,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,Petionville Mayor Lydie Parent and her brother Senator Clark Parent were victims of a shooting and teargas attack at their home; a relative in the house was injured.,Both,0,Coded as an etype 8 because Mayor and Senator were targets,BS,18.53333,-72.33334,,
410242,41,242,Haiti,15-Aug-94,15-Aug-94,15,8,1994,15,8,1994,1,7,0,Gunmen,,,Libete newspaper street sellers,,0,0,-99,-77,0,Unknown,Unknown,1,-99,-99,11,,,A Libete weekly newspaper street seller was threatened at gunpoint and another was thrown into the truck of a car and driven away.,AP,0,Coded as middle of month because exact event date not specified,BS,18.95,-72.46667,UNKNOWN,no
410243,41,243,Haiti,28-Aug-94,28-Aug-94,28,8,1994,28,8,1994,1,7,0,Armed men,,,Father Jean-Marie Vincent,,0,0,-99,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"Father Jean-Marie Vincent, a close adviser of Aristide, was gunned down by armed men outside the Congregation of Montfortain Fathers headquarters.",Both,0,,BS,18.53333,-72.33334,,
410244,41,244,Haiti,8-Sep-94,8-Sep-94,8,9,1994,8,9,1994,1,1,0,Front for the Advancement and Progress of Haiti,Far-right citizens,,United States,United Nations,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,"2,000 to 3,000 pro-military demonstrators rallied against  a U.S. invasion, the international trade embargo, and also Aristide.",AP,0,,BS,18.53333,-72.33334,,
410245,41,245,Haiti,11-Sep-94,11-Sep-94,11,9,1994,11,9,1994,1,4,0,Armed civilians,,,Churchgoers,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,"As United States warships appeared off the coast of Haiti, armed civilians shot into the air and broke up a church service.",AP,0,"Coded as an 8 for issue1 because U.S. warships off the coast, but not certain this is the reason for the shotting at the church",BS,18.53333,-72.33334,,
410246,41,246,Haiti,14-Sep-94,14-Sep-94,14,9,1994,14,9,1994,1,7,0,Pro-army militants,,,Citizens,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,8,,Pro-army militants beat up people as they tried to pick up leaflets dropped from American planes.,AP,0,,BS,18.53333,-72.33334,,
410247,41,247,Haiti,17-Sep-94,17-Sep-94,17,9,1994,17,9,1994,1,2,0,Pro-army demonstrators,,,Aristide,United States,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,8,,A pro-military government protest was held against Aristide and the U.S. ,Both,0,,BS,18.53333,-72.33334,,
410248,41,248,Haiti,18-Sep-94,18-Sep-94,18,9,1994,18,9,1994,1,2,0,Pro-army demonstrators,,,United States,,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,"Outside army headquarters, hundreds of people, some wearing T-shirts declaring ''No To Intervention,'' urged army chief Lt. Gen. Raoul Cedras to hold firm and pleaded with the United States to avoid a military invasion.",AP,0,"Difficult to determine if this protest was the same as one from previous day, so cautiously coded as separate event",BS,18.53333,-72.33334,,
410249,41,249,Haiti,19-Sep-94,19-Sep-94,19,9,1994,19,9,1994,1,2,0,Pro-Aristide demonstrators,,,Government,,1,0,-99,0,0,Unknown,Unknown,1,-99,-99,10,,,A pro-Aristide demonstration was held.,AFP,0,Very little information given in article was event,BS,18.95,-72.46667,UNKNOWN,no
410250,41,250,Haiti,19-Sep-94,19-Sep-94,19,9,1994,19,9,1994,1,2,0,Pro-Aristide demonstrators,,,Government,,1,0,-99,0,0,Unknown,Unknown,1,-99,-99,10,,,A pro-Aristide demonstration occurred.,AFP,0,Very little information given in article was event; coded as a separate event from other September 19 demonstration because article says events were separate,BS,18.95,-72.46667,UNKNOWN,no
410251,41,251,Haiti,19-Sep-94,19-Sep-94,19,9,1994,19,9,1994,1,2,0,Pro-Aristide demonstrators,,,Government,,1,0,4,1,2,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"Several thousand people demonstrated to show Aristide, urged that military coup leader Lt. Gen. Raoul Cedras be imprisoned and hailed Americans; police moved in clubbing several demonstrators with sticks and the gun butts. ",Both,0,Very difficult to determine which events from September 19-20 are separate events,BS,18.53333,-72.33334,,
410252,41,252,Haiti,20-Sep-94,20-Sep-94,20,9,1994,20,9,1994,1,2,4,Pro-Aristide demonstrators,,,Government,,1,0,4,1,2,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"A demonstration of thousands of Aristide supporters was broken up by police; one man was beaten to death by police; after this man was killed, demonstrators began throwing rocks and pieces of concrete at police, and one policemen was injured. ",Both,0,Very difficult to determine which events from September 19-20 are separate events,BS,18.53333,-72.33334,,
410253,41,253,Haiti,20-Sep-94,20-Sep-94,20,9,1994,20,9,1994,1,2,0,Pro-Aristide demonstrators,,,Government,,1,0,4,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,A demonstration supporting Aristide was held.,Both,0,Very difficult to determine which events from September 19-20 are separate events,BS,18.53333,-72.33334,,
