eventid,id,ccode,countryname,startdate,enddate,duration,stday,stmo,styr,eday,emo,eyr,etype,escalation,actor1,actor2,actor3,target1,target2,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,gislocnum,issue1,issue2,issue3,issuenote,nsource,notes,coder,acd_questionable,latitude,longitude,geo_comments,location_precision
4750736,736,475,Nigeria,10-May-06,8-Jun-06,30,10,5,2006,8,6,2006,8,0,Movement for the Emancipation of the Niger Delta,,,Oil workers,Police,1,0,-99,7,0,Port Harcourt,Port Harcourt,1,2,2,12,,,Secessionist group targets oil companies with kidnappings and car bombs,1,,ES,0,4.8099999,7.0047998,,
4750737,737,475,Nigeria,5-Jun-06,15-Jun-06,11,5,6,2006,15,6,2006,6,0,State telephone workers,,,Government,,1,0,4,0,0,Nationwide,Nationwide,1,7,7,3,2,,"State telephone workers strike, demanding unpaid wages",1,,ES,0,9.5845499,8.28374,,
4750738,738,475,Nigeria,19-Jun-06,19-Jun-06,1,19,6,2006,19,6,2006,8,0,Movement for the Emancipation of the Niger Delta,,,Prisons,,1,0,-99,0,0,Onitsha,Onitsha,1,2,2,5,,,Secessionist group attacks prisons to set detained members free,1,,ES,0,6.1666698,6.78333,,
4750739,739,475,Nigeria,20-Jun-06,25-Jun-06,6,20,6,2006,25,6,2006,9,0,Movement for the Emancipation of the Niger Delta,,,Oil workers,,0,0,-99,0,0,Port Harcourt,Port Harcourt,1,2,2,9,,,MEND kidnaps two Filipino oil workers.,0,,ES,0,4.8099999,7.0047998,,
4750740,740,475,Nigeria,4-Jul-06,4-Jul-06,1,4,7,2006,4,7,2006,3,0,Peoples Democratic Party,,,Rival factions of Peoples Democratic Party,,0,0,-99,2,0,Ekori,Ekori,1,2,2,1,,,Rival factions of political party clash,0,,ES,0,5.16681,8.4581003,somewhere is south Cross Rivers state,no
4750741,741,475,Nigeria,6-Jul-06,6-Jul-06,1,6,7,2006,6,7,2006,9,0,Movement for the Emancipation of the Niger Delta,,,Oil companies,,0,0,-99,0,0,Yenagoa,Yenagoa,1,2,2,12,,,Secessionist group kidnaps oil workers,1,,ES,0,4.9247198,6.2641702,,
4750742,742,475,Nigeria,11-Jul-06,11-Jul-06,1,11,7,2006,11,7,2006,7,0,Police,,,Movement for the Actualisation of the Sovereign State of Biafra,,0,0,-99,8,0,Onitsha,Onitsha,1,2,2,11,,,Police attempts to chase secessionist group out of city,1,,ES,0,6.1666698,6.78333,,
4750743,743,475,Nigeria,13-Jul-06,13-Jul-06,1,13,7,2006,13,7,2006,9,0,Movement for the Emancipation of the Niger Delta,,,Oil companies,,0,0,-99,0,0,Bayelsa State,Bayelsa State,1,6,6,9,,,MEND attacks two oil installations.,0,,ES,0,4.8677802,5.8987098,,no
4750744,744,475,Nigeria,24-Jul-06,24-Jul-06,1,24,7,2006,24,7,2006,8,0,Movement for the Actualisation of the Sovereign State of Biafra,,,Police,,1,0,3,2,0,Nnewi,Nnewi,1,2,2,5,,,"Secessionist group attacks police station, killing two officers and freeing 14 prisoners",1,,ES,0,6.0166702,6.9166698,,
4750745,745,475,Nigeria,26-Jul-06,26-Jul-06,1,26,7,2006,26,7,2006,4,0,Students,,,Police,,1,0,-99,0,1,Lagos,Lagos,1,2,2,14,,,Students clash with police in university's French 'village',0,,ES,0,6.4530602,3.3958299,,
4750746,746,475,Nigeria,28-Jul-06,28-Jul-06,1,28,7,2006,28,7,2006,4,0,Supporters of murdered gubernatorial candidate,,,Citizens,,0,0,-99,0,0,Lagos,Lagos,1,2,2,9,10,,"Supporters of murdered gubernatorial candidate riot, protesting murder and its impact on democracy",1,,ES,0,6.4530602,3.3958299,,
4750747,747,475,Nigeria,3-Aug-06,4-Aug-06,2,3,8,2006,4,8,2006,9,0,Movement for the Emancipation of the Niger Delta,,,Oil workers,,0,0,2,0,0,Port Harcourt,Port Harcourt,1,2,2,9,,,MEND gunmen kidnap 4 foreign oil workers.,1,,ES,0,4.8099999,7.0047998,,
4750748,748,475,Nigeria,4-Aug-06,4-Aug-06,1,4,8,2006,4,8,2006,2,0,Lebanese citizens,,,Israel,,0,0,4,0,0,Kano City,Kano City,1,2,2,10,8,,Lebanese community protests Israeli attacks on Hezbollah militia,0,,ES,0,12,8.5166702,,
4750749,749,475,Nigeria,8-Aug-06,9-Aug-06,2,8,8,2006,9,8,2006,6,0,Oil tanker drivers,,,Oil companies,,0,0,-99,0,0,Nationwide,Nationwide,1,7,7,2,,,"Oil tanker drivers strike, protesting failure of oil companies to honor agreements reached with road transport owners",1,,ES,0,9.5845499,8.28374,,
4750750,750,475,Nigeria,8-Aug-06,1-Sep-06,25,8,8,2006,1,9,2006,9,0,Movement for the Niger Delta People,,,Foreign oil workers,,0,0,-99,0,0,Bayelsa State,Bayelsa State,1,6,6,12,,,"Militants kidnap foreign oil workers, demanding ransom and percentages of oil profits",1,,ES,0,4.8677802,5.8987098,,no
4750751,751,475,Nigeria,14-Aug-06,16-Aug-06,3,14,8,2006,16,8,2006,6,0,Telecommunication workers,,,Government,,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,3,2,,Telecommunication workers strike over non-payment of wages,0,,ES,0,9.5845499,8.28374,,
4750752,752,475,Nigeria,14-Aug-06,14-Aug-06,1,14,8,2006,14,8,2006,3,0,People's Democratic Party supporters,,,Opposing party supporters,,0,0,-99,0,0,Ijan-Ekiti,Ijan-Ekiti,1,3,3,9,,,PDP supporters riot after gubernatorial candidate murdered,1,,ES,0,7.6231999,5.3888001,,
4750753,753,475,Nigeria,18-Aug-06,18-Aug-06,1,18,8,2006,18,8,2006,8,0,MEND gunmen,,,Police,,1,0,-99,3,0,Port Harcourt,Port Harcourt,1,2,2,9,,,"MEND gunmen attack a police station, killing three officers.",0,,ES,0,4.8099999,7.0047998,,
4750754,754,475,Nigeria,24-Aug-06,24-Aug-06,1,24,8,2006,24,8,2006,8,0,MEND gunmen,,,Foreigners,Soldiers,1,0,-99,1,0,Port Harcourt,Port Harcourt,1,2,2,9,,,MEND gunmen kidnap two foreigners and kill one soldier in a gunbattle.,1,,ES,0,4.8099999,7.0047998,,
4750755,755,475,Nigeria,25-Aug-06,25-Aug-06,1,25,8,2006,25,8,2006,7,0,Soldiers,,,Citizens,,0,0,-99,0,0,Port Harcourt,Port Harcourt,1,2,2,11,,,Soldiers attack citizens after militants killed a soldier,0,,ES,0,4.8099999,7.0047998,,
4750756,756,475,Nigeria,4-Sep-06,4-Sep-06,1,4,9,2006,4,9,2006,2,0,Bus drivers,,,Police,,1,0,-99,0,1,Lagos,Lagos,1,2,2,2,3,,Bus drivers protest extortion attempts by local police,0,,ES,0,6.4530602,3.3958299,,
4750757,757,475,Nigeria,12-Sep-06,12-Sep-06,1,12,9,2006,12,9,2006,9,0,Niger Delta militants,,,Oil workers,,0,0,-99,1,0,Port Harcourt,Port Harcourt,1,2,2,12,,,"Militants attack oil workers, killing one",0,,ES,0,4.8099999,7.0047998,,
4750758,758,475,Nigeria,13-Sep-06,14-Sep-06,2,13,9,2006,14,9,2006,6,0,Oil unions,,,Oil companies,Government,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,9,,,"Oil workers strike, protesting escalating violence in Niger Delta region and failure of both oil companies and Nigerian government to solve it",1,,ES,0,9.5845499,8.28374,,
4750759,759,475,Nigeria,20-Sep-06,20-Sep-06,1,20,9,2006,20,9,2006,2,4,Muslims,,,Christians,,0,0,-99,0,1,Dutse,Dutse,1,2,2,6,,,Muslim youths protest and riot over Christian woman's blasphemous remarks against prophet Mohammed,0,,ES,0,11.8,9.3333302,,
4750760,760,475,Nigeria,2-Oct-06,2-Oct-06,1,2,10,2006,2,10,2006,8,0,MEND gunmen,,,Soldiers,,1,0,-99,5,0,Port Harcourt,Port Harcourt,1,2,2,9,,,"MEND gunmen attack two military patrol boats, killing 5 soldiers.",1,,ES,0,4.8099999,7.0047998,,
4750761,761,475,Nigeria,3-Oct-06,22-Nov-06,51,3,10,2006,22,11,2006,9,0,Movement for the Emancipation of the Niger Delta,,,Oil workers,,0,0,2,15,2,Niger Delta,Niger Delta,1,6,6,12,,,Niger Delta militants attack convoys and kidnap several oil workers,1,,ES,0,4.5,6,,no
4750762,762,475,Nigeria,9-Oct-06,9-Oct-06,1,9,10,2006,9,10,2006,6,0,Teachers,,,Government,,1,0,4,0,0,Nationwide,Nationwide,1,7,7,2,,,Teachers strike over plans to privatize several schools,0,,ES,0,9.5845499,8.28374,,
4750763,763,475,Nigeria,13-Oct-06,13-Oct-06,1,13,10,2006,13,10,2006,2,4,Citizens,,,Local government,,0,1,-99,1,2,Jos,Jos,1,2,2,10,,,Citizens stage protest of governors impeachment,0,,ES,0,9.9244003,8.8933897,,
4750764,764,475,Nigeria,25-Oct-06,28-Oct-06,4,25,10,2006,28,10,2006,4,0,Villagers,,,Shell,,0,0,-99,0,0,Niger Delta,Niger Delta,1,6,6,12,,,"Villagers occupy three Shell oil stations and an Agip station, protesting failure to provide promised aid",1,,ES,0,4.5,6,,no
4750765,765,475,Nigeria,25-Oct-06,25-Oct-06,1,25,10,2006,25,10,2006,4,0,Youths,,,Police,,1,0,-99,1,2,Pankshin,Pankshin,1,3,3,10,,,Youths attack police after alleged raid on hotel,0,,ES,0,9.3278599,9.43116,,
4750766,766,475,Nigeria,27-Oct-06,27-Oct-06,1,27,10,2006,27,10,2006,7,0,Police,,,Vice president supporters,,0,0,-99,0,0,Abuja,Abuja,1,1,1,10,1,,Police attack vice president supporters outside of his official residence due to deteriorating relations between the president and vice president,0,,ES,0,9.0580397,7.4890599,,
4750767,767,475,Nigeria,5-Nov-06,5-Nov-06,1,5,11,2006,5,11,2006,3,0,People's Democratic Party supporters,,,Rival factions of Peoples Democratic Party,,0,0,-99,3,1,Nationwide,Nationwide,1,7,7,1,,,Rival factions of the PDP clash at start of election nominations,1,,ES,0,9.5845499,8.28374,,
4750768,768,475,Nigeria,7-Dec-06,7-Apr-07,122,7,12,2006,7,4,2007,9,0,Movement for the Emancipation of the Niger Delta,,,Oil workers,,0,0,-99,7,0,Bayelsa State,Bayelsa State,1,6,6,12,1,,"Niger Delta militants attack oil eport terminal, kiling one and set off simultaneous car bombs.They also later target offices of local officials after gubernatorial elections canceled",1,,ES,0,4.8677802,5.8987098,,no
4750769,769,475,Nigeria,9-Dec-06,9-Dec-06,1,9,12,2006,9,12,2006,4,0,Citizens,,,Local governments,,0,1,-99,1,1,Nationwide,Nationwide,1,7,7,1,,,Gubernatorial election cause cashes among several groups nationwide,1,,ES,0,9.5845499,8.28374,,
4750770,770,475,Nigeria,24-Dec-06,24-Dec-06,1,24,12,2006,24,12,2006,8,0,MEND gunmen,,,Local governor,,0,1,-99,0,0,Port Harcourt,Port Harcourt,1,2,2,1,9,,MEND set a car bomb outside a state governor's office.,0,,ES,0,4.8099999,7.0047998,,
4750771,771,475,Nigeria,10-Jan-07,10-Jan-07,1,10,1,2007,10,1,2007,4,0,Beera community,,,B-Dere community,,0,0,-99,2,0,Gokana,Gokana,1,3,3,12,,,Communal clashes in Ogoniland erupt over a parcel of land,0,,ES,0,4.66049,7.2834702,second order administrative division,no
4750772,772,475,Nigeria,16-Jan-07,16-Jan-07,1,16,1,2007,16,1,2007,4,0,Citizens,,,Village elders,,0,1,-99,12,0,Port Harcourt,Port Harcourt,1,2,2,12,,,Village elders are attacked on a riverboat after citizens branded them uncaring and acused them of siding with the oil companies,1,,ES,0,4.8099999,7.0047998,,
4750773,773,475,Nigeria,14-Feb-07,14-Feb-07,1,14,2,2007,14,2,2007,2,0,Former soldiers,,,Government,,1,0,-99,0,0,Abuja,Abuja,1,1,1,3,,,Former soldiers protest non-payment of pensions,0,,ES,0,9.0580397,7.4890599,,
4750774,774,475,Nigeria,21-Feb-07,25-Feb-07,5,21,2,2007,25,2,2007,4,0,Bodo community,,,Mogho community,,0,0,-99,10,0,Bodo and Mogho,Bodo,1,5,5,12,,,Neighboring communities clash over an area of land,0,,ES,0,7.1300001,3.4300001,,
4750774,774,475,Nigeria,21-Feb-07,25-Feb-07,5,21,2,2007,25,2,2007,4,0,Bodo community,,,Mogho community,,0,0,-99,10,0,Bodo and Mogho,Mogho,2,5,5,12,,,Neighboring communities clash over an area of land,0,,ES,0,4.6500001,7.2832999,,
4750775,775,475,Nigeria,23-Feb-07,4-Dec-07,285,23,2,2007,4,12,2007,9,8,Movement for the Emancipation of the Niger Delta,,,Oil workers,Government,1,0,-99,44,2,Niger Delta,Niger Delta,1,6,6,9,,,"Militants attack oil workers, police and local buildings.",1,,ES,0,4.5,6,,no
4750776,776,475,Nigeria,5-Mar-07,7-Mar-07,3,5,3,2007,7,3,2007,4,0,Citizens,,,Citizens,,0,0,-99,13,0,Kula,Kula,1,3,3,12,,,"Clashes over oil revene erupt among vilagers, killing several.",1,,ES,0,7.0332999,8.8832998,,
4750777,777,475,Nigeria,16-Mar-07,16-Mar-07,1,16,3,2007,16,3,2007,2,0,Citizens,,,Government,,1,0,3,0,0,Bauchi,Bauchi,1,2,2,1,,,Citizens protest exclusion of vice president on ballot due to alleged corruption,0,,ES,0,10.3098,9.84517,,
4750778,778,475,Nigeria,17-Mar-07,6-Apr-07,21,17,3,2007,6,4,2007,6,0,Court workers,,,Government,,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,2,3,,"Court workers strike, demanding higher wages and benefits",0,,ES,0,9.5845499,8.28374,,
4750779,779,475,Nigeria,19-Mar-07,19-Mar-07,1,19,3,2007,19,3,2007,9,0,Movement for the Actualisation of the Sovereign State of Biafra,,,Citizens,,0,0,-99,0,0,Anambra State,Anambra State,1,6,6,12,,,Secesionist group kidnaps citizens,1,,ES,0,6.2757702,7.0068402,,no
4750780,780,475,Nigeria,21-Mar-07,21-Mar-07,1,21,3,2007,21,3,2007,4,0,Muslims,,,Christian teacher,,0,0,-99,1,0,Kano City,Kano City,1,2,2,6,,,Muslim students lynch their Chrstian teacher after she allegedly desecrated the Koran,0,,ES,0,12,8.5166702,,
4750781,781,475,Nigeria,22-Mar-07,22-Mar-07,1,22,3,2007,22,3,2007,4,0,Villagers,,,Villager,,0,0,-99,5,0,Ikare-Akoka,Ikare-Akoka,1,3,3,12,,,Families clash over disputed land,0,,ES,0,7.4499998,5.8000002,,
4750782,782,475,Nigeria,27-Mar-07,27-Mar-07,1,27,3,2007,27,3,2007,6,0,University professors,,,Government,,1,0,4,0,0,Nationwide,Nationwide,1,7,7,2,3,,"University professors strike, demanding higher wages",0,,ES,0,9.5845499,8.28374,,
4750783,783,475,Nigeria,29-Mar-07,29-Mar-07,1,29,3,2007,29,3,2007,3,0,People's Democratic Party supporters,,,All Nigeria People's Party supporters,,0,0,-99,1,0,Bauchi,Bauchi,1,2,2,1,,,Rival political party supporters clash leading up to elections,0,,ES,0,10.3098,9.84517,,
4750784,784,475,Nigeria,2-Apr-07,2-Apr-07,1,2,4,2007,2,4,2007,9,0,Islamic militants,,,Private radio station,,0,0,2,0,0,Kano City,Kano City,1,2,2,6,,,Islamic militants attack radio station accused of broadcasting conflicting views on an  Islamic holiday,1,,ES,0,12,8.5166702,,
4750785,785,475,Nigeria,13-Apr-07,13-Apr-07,1,13,4,2007,13,4,2007,9,0,Cult gangs,,,Rival cult gang,,0,0,-99,5,2,Emohia,Emohia,1,3,3,13,,,Rival gangs clash,0,,ES,0,4.7497401,6.8276601,,no
4750786,786,475,Nigeria,14-Apr-07,14-Apr-07,1,14,4,2007,14,4,2007,9,0,Niger Delta militants,,,Citizens,,0,0,-99,15,1,Niger Delta,Niger Delta,1,6,6,1,,,Militants attack citizens and clash with police as they attempt to vote on election day,0,,ES,0,4.5,6,,no
4750787,787,475,Nigeria,14-Apr-07,14-Apr-07,1,14,4,2007,14,4,2007,4,0,Citizens,,,Opposing party supporters,Police,0,0,-99,137,1,Nationwide,Nationwide,1,7,7,1,,,"Citizens clash on election day, killing several",1,,ES,0,9.5845499,8.28374,,
4750788,788,475,Nigeria,14-Apr-07,17-Apr-07,4,14,4,2007,17,4,2007,2,0,Citizens,,,Government,,0,1,-99,0,0,Lagos,Lagos,1,2,2,1,,,Citizens protest after several pictures of candidates left off of ballot,0,,ES,0,6.4530602,3.3958299,,
4750789,789,475,Nigeria,17-Apr-07,17-Apr-07,1,17,4,2007,17,4,2007,8,0,Islamic militants,,,Police,,1,0,3,13,1,Kano City,Kano City,1,2,2,1,6,,"After elections, Islamic militants attack police station",1,,ES,0,12,8.5166702,,
4750790,790,475,Nigeria,18-Apr-07,18-Apr-07,1,18,4,2007,18,4,2007,7,0,Police,,,Muslims,,0,0,3,25,0,Kano City,Kano City,1,2,2,11,,,Police attack Islamicarea of town after Islamic militants attacked police station,1,,ES,0,12,8.5166702,,
4750791,791,475,Nigeria,20-Apr-07,30-Oct-07,194,20,4,2007,30,10,2007,9,0,Movement for the Emancipation of the Niger Delta,,,Oil workers,Rival gangs,0,0,-99,31,2,Niger Delta,Niger Delta,1,6,6,12,,,Militants attack oil workers and bomb local buildings,1,,ES,0,4.5,6,,no
4750792,792,475,Nigeria,21-Apr-07,21-Apr-07,1,21,4,2007,21,4,2007,8,0,Unidentified miitants,,,Electoral commission,Police,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,1,,,Unidentified militants attack electoral headquarters and ambush police,1,,ES,0,9.5845499,8.28374,,
4750793,793,475,Nigeria,23-Apr-07,23-Apr-07,1,23,4,2007,23,4,2007,2,4,Youths,,,Government,,1,0,3,0,1,Kano City,Kano City,1,2,2,1,,,"Youths protest election results, claiming they were rigged",0,,ES,0,12,8.5166702,,
4750794,794,475,Nigeria,2-May-07,2-May-07,1,2,5,2007,2,5,2007,1,0,Women's rights grup,,,Government,,1,0,4,0,0,Lagos,Lagos,1,2,2,1,,,Women's rights group protests election rigging and demands new vote,0,,ES,0,6.4530602,3.3958299,,
4750795,795,475,Nigeria,7-May-07,30-May-07,24,7,5,2007,30,5,2007,4,0,Protesters,,,Chevron,Shell,0,0,2,0,0,Niger Delta,Niger Delta,1,6,6,12,,,"Protesters take over Chevron station, demanding shares of oil profits",1,,ES,0,4.5,6,,no
4750796,796,475,Nigeria,17-May-07,17-May-07,1,17,5,2007,17,5,2007,8,0,Movement for the Emancipation of the Niger Delta,,,Vice president,,1,0,-99,2,0,Niger Delta,Niger Delta,1,6,6,1,,,"MEND blows up country home of the vice president, killing two police in the process",1,,ES,0,4.5,6,,no
4750797,797,475,Nigeria,24-May-07,25-May-07,2,24,5,2007,25,5,2007,6,0,Oil unions,,,Government,,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,2,,,"Nigerian oil unions strike, protesting plans to sell government refineries",1,,ES,0,9.5845499,8.28374,,
4750798,798,475,Nigeria,28-May-07,29-May-07,2,28,5,2007,29,5,2007,5,0,Citizens,,,Government,,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,1,,,"Citizens strike, protesting flawed elections and hold protest at inauguration of new president",1,,ES,0,9.5845499,8.28374,,
4750799,799,475,Nigeria,5-Jun-07,5-Jun-07,1,5,6,2007,5,6,2007,2,0,Youths,,,Government,,1,0,3,0,0,Port Harcourt,Port Harcourt,1,2,2,9,,,Youths block road to protest kidnappings and violence,0,,ES,0,4.8099999,7.0047998,,
4750800,800,475,Nigeria,7-Jun-07,7-Jun-07,1,7,6,2007,7,6,2007,2,0,Citizens,,,Chevron,,0,0,-99,0,0,Warri,Warri,1,2,2,2,,,Protesters occupy Chevron offices to demand jobs,1,,ES,0,5.5166702,5.75,,
4750801,801,475,Nigeria,18-Jun-07,18-Jun-07,1,18,6,2007,18,6,2007,4,0,Villagers,,,Oil companies,,0,0,3,0,0,Niger Delta,Niger Delta,1,6,6,12,,,"Villagers take over oil transfer stations, demanding money they claim is owed to them by the oil companies",1,,ES,0,4.5,6,,no
4750802,802,475,Nigeria,20-Jun-07,23-Jun-07,4,20,6,2007,23,6,2007,5,0,Citizens,,,Government,,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,3,,,"Citizens strike, protesting government price hikes of fuel",1,,ES,0,9.5845499,8.28374,,
4750803,803,475,Nigeria,21-Jun-07,21-Jun-07,1,21,6,2007,21,6,2007,7,0,Soldiers,,,Niger Delta militants,,0,0,-99,12,0,Niger Delta,Niger Delta,1,6,6,11,12,,Soldiers attack militants holding workers and soldiers hostage in an oil installation,1,,ES,0,4.5,6,,no
4750804,804,475,Nigeria,9-Jul-07,10-Jul-07,2,9,7,2007,10,7,2007,9,0,Deewell gang,,,Deebam gang,,0,0,-99,2,1,Bane,Bane,1,3,3,9,,,Rival gangs clash in Ogoniland,0,,ES,0,4.6500001,7.5166998,,
4750805,805,475,Nigeria,19-Jul-07,19-Jul-07,1,19,7,2007,19,7,2007,4,0,Shiite Muslims,,,Sunni Muslims,,0,0,-99,5,1,Sokoto,Sokoto,1,2,2,6,,,Rival Muslim sects clash after shooting of popular cleric,1,,ES,0,13.0667,5.2333298,,
4750806,806,475,Nigeria,20-Jul-07,20-Jul-07,1,20,7,2007,20,7,2007,7,0,Police,,,Muslims,,0,0,-99,1,0,Sokoto,Sokoto,1,2,2,11,,,"Police raid Muslim homes in response to sectarian violence, killing one and arresting over 100",1,,ES,0,13.0667,5.2333298,,
4750807,807,475,Nigeria,31-Jul-07,31-Jul-07,1,31,7,2007,31,7,2007,1,0,Bayelsa state MPs,,,Niger Delta militants,,0,0,2,0,0,Bayelsa State,Bayelsa State,1,6,6,9,,,MPs of Bayelsa state go on a hunger strike to protest kidnapping of one of their members and mother of assembly's president,1,,ES,0,4.8677802,5.8987098,,no
4750808,808,475,Nigeria,1-Aug-07,1-Aug-07,1,1,8,2007,1,8,2007,4,0,Assailants,,,Shiite Muslims,,0,0,-99,0,0,Sokoto,Sokoto,1,2,2,6,,,Assailants suspected to be hired by the government torch compounds and homes that house Shiite Muslims,0,,ES,0,13.0667,5.2333298,,
4750809,809,475,Nigeria,9-Aug-07,16-Aug-07,8,9,8,2007,16,8,2007,9,8,Niger Delta gang,,,Rival Niger Delta gang,Government,1,0,-99,27,2,Port Harcourt,Port Harcourt,1,2,2,13,,,"Rival gangs clash in Port Harcourt for 5 days, leaving several dead. Clashes evolve into heavy shooting wars with soldiers",1,,ES,0,4.8099999,7.0047998,,
4750810,810,475,Nigeria,11-Aug-07,11-Aug-07,1,11,8,2007,11,8,2007,4,0,Inmates,,,Wardens,Police,0,1,-99,2,0,Kano City,Kano City,1,2,2,10,,,"Inmates riot and attack wardens, protesting inhumane living conditions",0,,ES,0,12,8.5166702,,
4750811,811,475,Nigeria,25-Aug-07,25-Aug-07,1,25,8,2007,25,8,2007,4,0,Citizens,,,Detained homosexuals,,0,0,-99,0,1,Bauchi,Bauchi,1,2,2,6,,,"Mob attempts to lynch homosexuals in custody after charges of homosexuality, which carry the death penalty, are substituted for idleness",0,,ES,0,10.3098,9.84517,,
4750812,812,475,Nigeria,31-Aug-07,31-Aug-07,1,31,8,2007,31,8,2007,4,0,Sunni Muslims,,,Shiite Muslims,,0,0,2,1,0,Sokoto,Sokoto,1,2,2,6,,,Sunni Muslims hack a Shiite follower to death,0,,ES,0,13.0667,5.2333298,,
4750813,813,475,Nigeria,11-Sep-07,11-Sep-07,1,11,9,2007,11,9,2007,4,0,Prisoners,,,Wardens,,0,0,2,8,2,Oyo State,Oyo State,1,6,6,10,,,"Prisoners attempt to escape, protesting poor living conditions",0,,ES,0,8.1195698,3.4195499,,no
4750814,814,475,Nigeria,28-Sep-07,28-Sep-07,1,28,9,2007,28,9,2007,4,0,Students,,,University administration,,0,0,-99,0,0,Kano City,Kano City,1,2,2,3,,,"Students riot after fees raised, prompting university closing",0,,ES,0,12,8.5166702,,
4750815,815,475,Nigeria,10-Oct-07,10-Oct-07,1,10,10,2007,10,10,2007,6,0,Chevron workers,,,Chevron,,0,0,-99,0,0,Niger Delta,Niger Delta,1,6,6,9,,,"Chevron workers strike, protesting violence in region",1,,ES,0,4.5,6,,no
4750816,816,475,Nigeria,10-Oct-07,10-Oct-07,1,10,10,2007,10,10,2007,4,0,Steel workers,,,Ajaokuta Steel Company,,0,0,-99,0,0,Kogi State,Kogi State,1,6,6,2,3,,Steel workers kidnap Indians to demand higher wages,0,,ES,0,7.9075499,6.5783401,,no
4750817,817,475,Nigeria,23-Oct-07,23-Oct-07,1,23,10,2007,23,10,2007,2,4,Youths,,,Government,,1,0,2,4,2,Ikire,Ikire,1,2,2,10,,,Youths clash with palace guards during protest over woman's murder for ritual purposes,0,,ES,0,7.3600001,4.1849999,,
4750818,818,475,Nigeria,30-Oct-07,30-Oct-07,1,30,10,2007,30,10,2007,2,0,Citizens,,,Government,,1,0,3,0,1,Abuja,Abuja,1,1,1,10,,,"Citizens march, demanding lawmaker resign over corruption scandal",0,,ES,0,9.0580397,7.4890599,,
4750819,819,475,Nigeria,6-Nov-07,10-Dec-07,35,6,11,2007,10,12,2007,6,0,Newspaper workers,,,The Guardian,,0,0,-99,0,0,Lagos,Lagos,1,2,2,2,,,"Newspaper workers strike, demanding higher wages",1,,ES,0,6.4530602,3.3958299,,
4750820,820,475,Nigeria,19-Nov-07,19-Nov-07,1,19,11,2007,19,11,2007,3,0,People's Democratic Party supporters,,,All Nigerian People's Party,,0,0,-99,6,1,Kano City,Kano City,1,2,2,1,,,Rival political parties clash following weekend council elections,0,,ES,0,12,8.5166702,,
4750821,821,475,Nigeria,16-Dec-07,16-Dec-07,1,16,12,2007,16,12,2007,3,0,People's Democratic Party supporters,,,All Nigerian People's Party,,0,0,-99,4,1,Nationwide,Nationwide,1,7,7,1,,,Clashes erupt during local governmental polls,0,,ES,0,9.5845499,8.28374,,
4750822,822,475,Nigeria,1-Jan-08,1-Jan-08,1,1,1,2008,1,1,2008,9,8,Niger Delta Vigilante Movement,,,Citizens,Police,1,0,-99,13,2,Port Harcourt,Port Harcourt,1,2,2,9,,,"Niger Delta Vigilante Movement attacks a hotel lobby and a police station, killing 13.",0,,ES,0,4.8099999,7.0047998,,
4750823,823,475,Nigeria,2-Jan-08,5-Mar-08,64,2,1,2008,5,3,2008,9,8,Movement for the Emancipation of the Niger Delta,,,Citzens,Police,0,0,-99,23,2,Port Harcourt,Port Harcourt,1,2,2,13,,,Niger Delta militants attack police stations and hotels,1,,ES,0,4.8099999,7.0047998,,
4750824,824,475,Nigeria,4-Feb-08,4-Feb-08,1,4,2,2008,4,2,2008,6,0,Justices,,,Government,,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,2,3,,"Justices strike, demanding promised pay raise",0,,ES,0,9.5845499,8.28374,,
4750825,825,475,Nigeria,12-Mar-08,12-Mar-08,1,12,3,2008,12,3,2008,9,0,Movement for the Emancipation of the Niger Delta,,,Construction ship,,0,0,-99,0,0,Port Harcourt,Port Harcourt,1,2,2,9,,,Gunmen hijack a vessel belonging to a construction company and take several Nigerians hostage.,1,,ES,0,4.8099999,7.0047998,,
4750826,826,475,Nigeria,7-Apr-08,7-Apr-08,1,7,4,2008,7,4,2008,9,0,Movement for the Emancipation of the Niger Delta,,,Citizens,,0,0,-99,2,0,Port Harcourt,Port Harcourt,1,2,2,9,,,"MEND gunmen seize a small boy, injuring his mother and killing their guard and driver.",0,,ES,0,4.8099999,7.0047998,,
4750827,827,475,Nigeria,9-Apr-08,9-Apr-08,1,9,4,2008,9,4,2008,4,0,Awori tribe,,,Egba tribe,,0,0,-99,7,0,Santo-Ota,Santo-Ota,1,3,3,5,1,,Tribes clash over appointing local leader,0,,ES,0,6.6999998,3.23,,
4750828,828,475,Nigeria,11-Apr-08,11-Apr-08,1,11,4,2008,11,4,2008,4,0,Youths,,,Shell,,0,0,-99,0,0,Bayelsa State,Bayelsa State,1,6,6,12,,,"Youths occupy Shell stations, demanding promised aid",1,,ES,0,4.8677802,5.8987098,,no
